address,Trading Volume Leaderboard,Trading volume Raffle,P$L Leaderboard,Realized profit,tokenAmount,tokenName
0x91d8ebec74b45bdfe6cb0d6f2c0616bfb1a4ebb2,800 ,0,0,0,800 ,ENA
0x660c6f703cb9108bd6b740decffb1d96eeee8d1b,800 ,0,0,0,800 ,ENA
0x951dfef8f2c840e1a940c5652e4220819ca2dc0a,800 ,0,0,0,800 ,ENA
0xa58b0fef77943d2ae21e7d619df83fd910d92a2a,800 ,0,0,0,800 ,ENA
0x78ac258ccdb03577b96502e8194d0fbf364b5395,800 ,0,0,0,800 ,ENA
0x86471e3e89ff87d60df292aa5de9832afeb07043,800 ,0,0,0,800 ,ENA
0x0f4bb053dc42502c3a3ff31deaa2cd69b33254c6,800 ,0,0,0,800 ,ENA
0x61832fd70d5cf1ad7e2fc357cae321a07fa735a9,800 ,0,0,0,800 ,ENA
0x06bc8232a54d6629a1ae01b1e44b707c08fcb67a,800 ,0,0,0,800 ,ENA
0xcaadadff88d7669dc0c2295b36b11c52a23632a6,800 ,0,0,0,800 ,ENA
0x569a257058d3822f14c819d42e3e8dad766534f4,800 ,0,0,0,800 ,ENA
0xb116f15005953e78659c68eb583fdb75b0b2e285,800 ,0,0,0,800 ,ENA
0xed3d88d4a033d864365ce4bd2ef1ea4a842d60f7,800 ,0,0,0,800 ,ENA
0xb29aca44ce38a9b1f653cde876c7b3233d68c859,800 ,0,0,0,800 ,ENA
0xe427bc841923206b9aeccfa9b9c6ac84818d113d,800 ,0,0,0,800 ,ENA
0x2fb242e752fb00df2df7ef163d308f49fe152064,800 ,0,0,0,800 ,ENA
0x7c00031e72c14bc6418199736076b6dc3a1dc465,800 ,0,0,0,800 ,ENA
0xb4c368a07805adb7833038bffdb696786bff2c0a,800 ,0,0,0,800 ,ENA
0x7eca8919419aed1313f178dbb6ab0ce77446d6ce,800 ,0,0,0,800 ,ENA
0xd2bc425e58079c2828076a0279fdfbc0739ba0b7,800 ,0,0,0,800 ,ENA
0x169777e61f6fdd2dcecc3c1e5755238f7b7db9c4,800 ,0,0,0,800 ,ENA
0x4e4c4ec048d68ac409e95c7bb6a3b39a64c7c740,800 ,0,0,0,800 ,ENA
0x7d4ab464421a69ac0da6cb5638d6248afc809945,800 ,0,0,0,800 ,ENA
0x5d0dd58e274fdd1dd495a10b0651f91ce1e50715,800 ,0,0,0,800 ,ENA
0x6aced2a70029a60d5e4d7cf1acd12ce215444f21,800 ,0,0,0,800 ,ENA
0xf9a583924404ffebc75b9fc35a9ee28445f3ee67,800 ,0,0,0,800 ,ENA
0x6bf78da0d0222d0a8bf191ee15af511a772e5e9b,800 ,0,0,0,800 ,ENA
0xc2348d0ee1043b153022b4e11f3aaa43047049bc,800 ,0,0,0,800 ,ENA
0x1b0e18ca3f07bece13dea98e9d52e42c32557b3c,800 ,0,0,0,800 ,ENA
